,Track No.,avg_len,len_slope,len_stdev,len_skew,avg_area,area_slope,avg_chirality,avg_decay_index,decay_index_slope,area_stdev,area_skew,chirality_slope,avg_barbs,barb_slope,barb_stdev,barb_skew,avg_tilt,tilt_slope,tilt_stdev,tilt_skew,avg_xcen,avg_ycen,avg_L_to_W,L_to_W_slope,L_to_W_stdev,L_to_W_skew,solar_region,active_region
62,2591.0,13058978550.0,-19071.9808623,1972878606.3,-0.49877082072,7398.68603303,-0.0211966476664,0.25,0.47078725,3.43757663495e-06,2302.07244308,0.162329369434,-1.29843916938e-05,5.0,-5.27269921007e-07,1.0,0.0,24.26329825,-0.000203778121895,18.9763174013,-0.0221739842039,-84.8331252,-847.22500625,1.00740768009,1.10912256579e-06,0.072720082949,-0.0426862011013,1.0,1.0
63,2635.0,2834226880.0,-4920.34109316,851256764.422,0.801729992677,415.089884168,-0.00138717189151,0.25,0.77698775,-4.17510905523e-07,274.31494034,1.1025913461,-2.27222721628e-06,1.5,-2.48535773763e-07,0.5,0.0,-28.15645,0.000299399199268,59.2557803392,1.13068552191,137.29079695,-890.119751,0.92838871608,-6.27867690309e-07,0.12621187431,0.899350566797,1.0,1.0
64,2802.0,13497448431.1,-14790.7364224,10489100606.3,1.89099256109,2058.24715652,0.00175713628206,-0.111111111111,0.467544622222,4.10031062385e-07,1756.97651648,0.940947369732,-2.69461474354e-06,3.44444444444,7.54938485517e-06,2.06080411011,0.383997520855,29.6052055556,6.35956152828e-05,29.5405511135,0.166478514458,179.806466822,-519.990783778,1.63363716538,-2.56204949114e-06,0.90730016855,0.497340204492,0.0,1.0
65,2921.0,9973599041.25,-10103.2793521,3940018169.66,-0.0602152482099,1172.87074314,-0.00146450094388,0.25,0.5342626375,-5.00778832348e-07,458.452642441,-0.290746020176,4.35643310693e-07,4.125,-2.04654175064e-06,1.61535599792,0.508777191211,-2.56419375,-7.88028420909e-06,11.2639401749,-0.64972281778,255.496538988,-39.7838998,2.09028476689,-2.24074910402e-06,0.622361920609,-0.390334428943,0.0,0.0
66,3031.0,6852375675.0,1609.81205308,1435504014.44,0.630533890077,774.02033495,-0.000140753711428,0.25,0.62523175,1.96133705015e-07,115.866465706,0.327400186373,-1.09629885258e-06,1.25,-7.18870976238e-06,0.829156197589,-0.493382200218,13.63588,3.604688048e-05,7.24166041317,0.223670693746,463.58675375,-418.9354935,2.05937942887,-8.01632668293e-07,0.330693450622,-0.11082123593,0.0,0.0
67,3149.0,5357524916.67,-3906.70940311,1414978781.66,-0.440006615478,843.440597501,-0.000775665201692,-0.166666666667,0.6604445,-5.36224620427e-07,280.644906629,-0.552237938986,-1.48912341506e-06,2.0,5.33891940938e-07,0.57735026919,0.0,-51.88725,0.000157340401856,37.7355637948,1.59523857876,-373.2975005,-22.9470227567,0.763470360731,9.85349193737e-07,0.26230199982,0.434405475304,0.0,1.0
68,3182.0,9532831495.71,-3511.0069797,7112695883.91,1.106527593,1265.41339363,0.000188057037741,-0.142857142857,0.512931271429,-2.80477260631e-06,854.183383497,1.12126544623,9.73528306167e-07,2.28571428571,-2.52494110622e-06,2.18529407725,1.19345887366,-16.6322557143,1.01780506233e-05,9.52619334242,-0.398809917068,-87.9824719857,309.241429,1.66327140217,9.10506538793e-07,0.392496108536,1.51710402428,0.0,1.0
69,3209.0,6003308723.33,-12866.450088,2471981116.41,0.532619643337,860.09757051,-0.00166216677577,0.666666666667,0.350193333333,-2.49955459343e-06,232.281272064,-0.0678341959543,-1.95659083995e-08,2.33333333333,-3.91318167989e-08,0.942809041582,-0.707106781187,-7.13903333333,-1.01241026562e-05,14.1570850298,0.671768668605,-323.417678667,388.147003333,1.32409103543,-2.21251521238e-06,0.308989163293,-0.0118352352868,0.0,0.0
70,3314.0,3628630820.0,-3653.53080115,1048146921.6,1.20624325915,468.945726621,-0.000451378043241,-0.428571428571,0.610215142857,1.4821280286e-06,174.867392476,-0.0495032663404,1.61358545932e-06,1.42857142857,-2.7662531852e-07,0.728431359085,-0.859893823298,-10.26701,0.000168670570916,48.5576314363,0.295936290099,234.706711129,-755.444135571,1.09892227173,-6.07353289708e-07,0.380201515428,0.0315677453896,1.0,1.0
71,3373.0,3932040856.0,3117.78453532,929354223.159,0.61782963073,612.610788594,0.00132145379844,0.2,0.35193092,-6.61670348911e-07,318.250302958,1.48352654606,1.65081661376e-06,1.2,-4.57372638195e-07,0.4,1.5,-14.786034,3.80443447281e-05,15.2332783368,-0.168466944194,-195.808792,-693.9943972,1.44622803195,-2.99468081264e-07,0.316990228465,1.19230770689,0.0,0.0
72,3386.0,7189606400.0,5747.8867692,2073335105.33,0.577724745894,1101.13999376,0.00419392638825,0.0,0.30784082,-3.05934192614e-06,423.079146467,-0.104599548256,2.66182937229e-06,3.0,8.49724135059e-06,1.41421356237,0.0,-28.00398,-0.000198242445874,18.7093479291,-1.35318306221,228.37728198,687.3496094,1.53172708088,-3.98587207385e-06,0.311325508258,-0.910660549896,0.0,0.0
73,3617.0,13568411494.0,5644.77612081,6040229676.8,0.130627258348,2122.55773826,0.000864721456243,-0.2,0.395912,-1.03145888556e-06,1087.42558446,0.170161982543,-1.84630961684e-06,1.9,-2.3796026615e-06,1.37477270849,0.872871560944,17.588697,0.000115431990515,38.3634868411,-1.43115565333,-125.4859181,-473.4868988,1.39608359934,-3.55497206274e-08,0.840946983042,0.540233588413,0.0,0.0
74,3627.0,3300617636.67,-12721.0193869,937371926.855,-3.82985653466e-06,214.994254543,-0.00107119453856,0.0,0.381498333333,8.71232382757e-08,58.542164869,-0.694570990216,0.0,0.333333333333,-2.2842144511e-06,0.471404520791,0.707106781187,58.4257333333,-0.00058605034236,31.6853630396,-0.704234451797,-497.712667,438.165659667,0.850245205687,7.00778054767e-06,0.376265001117,0.706961801308,0.0,0.0
75,3856.0,4491711226.0,4834.29369202,1439778275.64,0.0557526574234,579.842363861,-7.43591976541e-05,-0.2,0.385994,2.4118900133e-07,356.282682065,0.989427537476,2.50290079504e-06,0.8,2.73357876584e-06,0.748331477355,0.343621596745,1.371172,-0.000103513681034,51.338327474,0.68122387472,-744.2834044,188.191997,1.14938371534,3.70626559363e-06,0.643827585838,0.877958906768,0.0,0.0
76,3929.0,19516706388.9,-17158.2455233,8641408427.14,2.08037143689,2985.32931765,0.000559977038023,-0.222222222222,0.278586711111,6.87406332222e-07,1285.31462406,1.19895595957,2.14591837856e-06,5.0,-8.76961329879e-06,3.52766841475,1.65528191081,-57.1342888889,-1.91555086006e-05,10.9789986941,0.508128558715,331.027003889,521.92944,0.776541344079,-6.45757879823e-08,0.12985029476,0.227391408072,0.0,1.0
77,4003.0,8007582824.0,-34575.1795704,4752290141.97,0.400413401019,2077.04604414,-0.0122152223601,0.2,0.253644,9.82751633546e-07,1518.14708146,0.604470819602,-5.01779134129e-06,3.2,-6.87241818494e-06,1.16619037897,0.363173474419,-21.59494,-0.000299055961671,56.9916031907,0.972139152102,367.1705964,460.513403,0.930029678208,2.72603415427e-06,0.238986033038,0.109631395979,0.0,0.0
78,4014.0,5357522616.67,-4129.59950708,2430890100.86,1.76642211577,567.901031121,-0.00138422170277,0.111111111111,0.423103666667,-6.00236902849e-07,466.346839473,2.14076117957,-6.1883670845e-08,0.777777777778,-8.88821418201e-07,0.785674201318,0.412950360213,34.6982777778,-4.70260989443e-05,10.1158074767,0.967685873077,-254.959487953,-164.430889667,1.22071365208,1.06640854411e-06,0.242598409399,-0.216181641454,0.0,0.0
79,4027.0,7435360172.5,-12847.9381197,4033482512.84,1.52772477686,757.402561107,-0.00123118844852,-0.125,0.480465375,4.06890857111e-07,452.563925615,1.35977109579,7.96468153712e-07,1.25,-3.05413861857e-06,1.19895788083,1.25108648434,-28.7636125,-7.29605142486e-06,6.2464101067,-0.381436515783,514.985631012,346.960502875,1.2670891151,-1.65946183534e-07,0.227483424505,0.401287905826,0.0,0.0
80,4215.0,14702095820.0,-2465.22807401,4669814569.89,-0.818365781545,2068.46445009,-0.000364147265557,-0.1,0.7240108,7.06112621667e-07,712.191865537,-1.0912777217,-8.00312083693e-07,3.7,5.11743671153e-06,1.41774468788,-0.303193339354,-5.704755,3.14646783385e-05,15.2034788623,0.490030978295,-26.01327329,289.7079011,1.79173664745,1.70094652237e-06,0.444112823227,-0.61081693855,0.0,0.0
81,4220.0,6027208288.0,-6668.63406742,2112981556.11,-0.399927710685,603.675820423,-0.00110635787358,-0.2,0.4611944,-1.07685288574e-06,326.186742497,0.770953255202,3.64845367053e-07,1.8,-5.15300766658e-06,0.979795897113,-0.867527617236,-26.062886,-1.85619625275e-05,22.6111912725,-0.550933682854,72.8834014,263.5636016,1.08744073284,1.04484455211e-06,0.326790794962,0.242651136132,0.0,0.0
82,4228.0,12233807708.8,27210.1734319,8362097119.23,0.693553257778,1588.66627513,0.00359343648137,-0.5,0.2375980875,-2.39580052747e-07,1024.74127588,0.0677292894105,-2.04160849494e-06,2.0,3.80676014957e-06,1.0,0.75,-20.06529,-7.16762968628e-05,19.8612145421,-0.499674472708,522.375251875,338.55537425,1.63661915322,-2.23562885998e-06,0.519590218364,0.0144873505906,0.0,0.0
83,4266.0,11939619760.0,8540.76651732,4693645301.35,0.157204772467,1139.14002983,0.00278795223741,-0.2,0.2865878,-5.48440867701e-07,509.166216693,0.089054215116,3.47481468162e-06,2.0,-2.88037288463e-06,1.26491106407,-0.592927061282,53.33188,-8.20993206204e-05,20.0893575127,0.759374921629,542.5300048,-451.9087952,0.807341638717,2.43165658109e-07,0.218719233428,0.0632536233133,0.0,0.0
84,4412.0,9435463050.0,-1677.03916171,1773227950.61,0.105103561173,1519.05782591,0.000156228588832,0.25,0.767672,-3.02764557389e-06,470.053597918,0.16978173913,-9.54096275206e-07,2.25,3.77419005357e-06,2.27760839479,0.833150407151,12.71237,-7.81679851395e-05,8.60661819774,-0.993453902754,-353.89025125,-378.67150125,1.86698852376,6.16429424268e-06,0.520542124728,0.706584221564,0.0,0.0
85,4497.0,7731338482.5,-13557.030864,4799751488.42,0.995373046121,882.820881846,0.000972768217885,0.0,0.19735265,7.93267845656e-07,481.942680659,0.493158461714,-1.89632955951e-06,2.25,-2.94685476871e-06,1.08972473589,0.652023664685,15.84855,0.000453995394045,58.8002579044,-0.202536332226,-185.5007803,240.1447485,0.783996926829,8.62749289511e-07,0.367688509046,0.462816624702,0.0,1.0
86,4572.0,7838971645.0,-40867.5811221,5958579200.74,1.15063334726,1605.59391718,-0.00931526608265,-0.25,0.551337,6.10428698843e-07,1470.22559142,1.06554427842,2.97825724262e-06,2.5,-1.56438278287e-05,2.69258240357,0.922073403362,-21.3545,0.000104624168271,25.131652519,0.0205328189271,475.4349995,89.245926025,1.35679344565,-7.66066189311e-08,0.371648060774,-0.831851241815,0.0,1.0
87,4609.0,27552994301.7,5718.98393174,15640661368.6,-0.146590761325,5766.25723896,0.00466417752084,0.25,0.232865975,-4.07205811505e-08,3671.55738004,0.0111770362728,-4.99017311323e-07,7.75,1.96858740573e-06,4.56663625294,0.471538903927,25.0411791667,-5.04653043194e-05,37.838473809,-1.73948701247,61.22299825,-379.683664833,1.16072218969,3.28404133327e-07,0.319028560264,-0.555131450338,0.0,0.0
88,4655.0,13226389500.0,3023.84906444,4506077511.13,0.212641397585,1705.15315758,-0.00170873179326,-0.5,0.6206557,-1.38203775983e-06,686.058466331,0.404028807647,4.66746353223e-07,3.33333333333,-3.91730487541e-07,1.10554159679,0.0548202444687,-50.055,-0.000295097331756,60.7937545564,1.76539134109,-411.95054365,168.526001,0.442121819254,2.36092677383e-07,0.0810437171299,0.00578239730847,0.0,0.0
89,4657.0,7486187693.33,42739.708095,3529924036.77,-0.685254263614,725.39733219,0.00404096879802,0.333333333333,0.381553333333,-6.73330013658e-06,299.434511645,-0.671146125409,-6.02074085695e-06,3.33333333333,1.8141673629e-05,1.24721912892,0.381801774161,-18.9707333333,-0.000357532917721,50.092835147,-0.0308529896433,-146.1544966,550.150329667,0.935357623473,9.04377434784e-07,0.148571531498,-0.219715053075,0.0,1.0
90,4658.0,8717937990.0,-8444.65703318,5858835377.23,0.667030926937,1013.8104141,-0.000691939330415,0.25,0.60292825,-3.16257684248e-07,786.373971781,0.775659633085,-5.93390742927e-06,3.25,3.36555457971e-06,2.7726341266,1.07760517314,-42.76735,-0.000238523830455,23.0451319598,-0.219775943409,514.12849025,487.3742445,1.31942023511,-5.93687861707e-06,0.571125739541,0.325170803866,0.0,0.0
91,4757.0,9417536000.0,32039.4221964,2805877325.22,-0.245614592113,2887.72563202,0.0090699151619,-0.25,0.46981925,-1.60581271087e-07,1122.0006169,-0.525172301087,-2.33069313494e-07,4.0,1.56218583341e-05,1.41421356237,0.0,-23.6637775,-0.000117448338849,10.8148666854,0.787021325983,-596.036499,474.095749,1.16384379573,7.32997673306e-07,0.0737029377541,-0.437477548258,0.0,1.0
92,4873.0,5955466122.0,11593.0690834,2221320791.15,0.936336466471,497.883009847,0.000707019681993,0.2,0.00830876,-2.63856821152e-06,129.935281521,-0.700610975437,-3.20562754884e-06,1.6,6.06728614906e-06,1.01980390272,-0.271545417884,-10.04069,-4.54503389665e-05,11.7636248769,-1.42090051027,255.33093264,320.141394,2.16929792109,2.10361591696e-06,0.822212763526,0.663683491777,0.0,0.0
93,4895.0,12150099800.0,90902.4071677,4696490205.76,-0.495093569016,1278.30668042,0.0117964557091,0.0,0.012513,-5.31844969043e-06,580.926169083,0.284759396199,-1.66042403858e-05,3.33333333333,3.43319459822e-05,1.88561808316,0.707106781187,-64.9712,-2.06457456104e-06,6.21617864179,-0.689361819608,-623.411000333,177.097671667,0.565013787879,-1.31583060308e-06,0.105203011128,0.392300067258,0.0,0.0
94,4993.0,7718527785.71,-9543.10819356,3577951587.86,1.06437672563,1227.73399594,-0.000429986170901,0.285714285714,0.442770571429,-5.20166819156e-07,609.405044062,1.35004169331,-1.80864981698e-06,2.0,-3.41393311464e-06,1.19522860933,0.0,54.7089571429,0.000128694365914,22.7870946382,0.204949117937,315.970563571,-485.298575286,0.918120143615,-1.29331457376e-06,0.26678674097,-0.169539694019,0.0,0.0
95,5133.0,3462067590.0,-11805.1484168,2188976335.33,1.14287442432,420.961856415,-0.00127728345705,0.0,0.581938325,9.86982825248e-07,258.320783331,1.10499538648,0.0,0.75,-1.12205514404e-06,0.433012701892,-1.15470053838,2.06067,-0.000147320435774,54.4267660117,-0.845927404754,534.39515115,-264.47549825,0.968376631176,-3.81326459145e-07,0.275336481461,0.425813446848,0.0,0.0
96,5144.0,9662686566.67,17312.7844945,4712182076.5,0.476603479851,807.373367142,0.00358461741363,0.0,0.0491083333333,1.35313625625e-06,360.507159364,-0.514866194071,0.0,0.666666666667,-1.1431201739e-05,0.942809041582,0.707106781187,56.0608,0.000163718373742,16.6942977249,0.451650335911,-694.883016,378.971659333,0.766050191176,-3.49156684621e-06,0.252047005977,-0.409822887968,0.0,0.0
97,5178.0,6959998582.0,-2222.7158945,2966429277.04,0.283880136723,610.326420876,0.00168739976966,0.0,0.4740804,8.05265696357e-07,260.691058325,-0.352762338249,-1.19320281169e-06,1.6,7.13824708034e-06,1.01980390272,-0.271545417884,51.286356,-4.53708499767e-05,30.0427525516,-0.933345857198,69.32916052,-542.3646056,0.948212669195,-6.20962467438e-08,0.219783589109,0.900011562817,0.0,0.0
98,5183.0,9758353735.45,3482.00839575,4984891369.06,0.694375829783,1222.57846907,4.10325129612e-06,0.0,0.406685090909,-2.69765742972e-07,657.506064718,0.441078408091,1.20342409383e-07,3.54545454545,-8.43131952439e-07,1.07565086965,0.977964209043,-24.0450854545,-6.89970021571e-05,54.2615416334,1.18148118095,85.8312655364,242.327908636,0.921530091837,9.32019230588e-09,0.128733625525,0.121637778441,0.0,0.0
99,5196.0,25680903272.7,-11181.6366085,12492424844.5,0.100681169465,9416.62083852,-0.000409686074308,0.363636363636,0.3834713,-4.5314219711e-07,6551.49272308,0.277513992428,-8.48453792805e-07,7.27272727273,-6.91132733803e-06,3.8633689747,-0.0560523450872,23.5585845455,-6.18939724587e-05,22.8942907993,1.06355725083,-59.6552607545,-563.505448818,2.31442572675,1.52260059644e-06,1.27667544908,0.374150289417,0.0,0.0
100,5287.0,8717946550.0,1271.27276044,2833627555.29,-0.381714604418,1242.66454893,-0.00208991118456,-0.166666666667,0.462325866667,4.29112156805e-08,462.165236975,-0.713016418187,3.46245046509e-07,2.5,-1.79275301971e-06,1.5,0.0,8.91219333333,0.000163710109387,33.7739270131,0.857863089139,316.802672333,-587.347330833,1.69166571167,-1.37650043238e-06,0.6862650035,-0.566649594766,0.0,0.0
101,5305.0,17818551266.7,94657.0495732,6976954772.41,-0.208050027854,3870.14692886,0.0354635021615,0.0,0.566133666667,1.65157861534e-06,2602.05688635,-0.0844627406154,1.11397964687e-05,7.0,6.12065512296e-05,4.54606056566,-0.319312266579,-8.65397633333,-6.82033928002e-05,7.51250569578,-0.395724301179,-695.241333,488.786672,1.92378349787,8.77843371376e-07,0.0841946895225,-0.616132116185,0.0,1.0
102,5335.0,7372587260.0,-3554.67879156,3166638145.34,-0.501342631829,1251.09190511,0.00165218413929,0.0,0.2432365,-6.00111023175e-07,1135.83258375,0.669763299563,2.53428441797e-06,2.25,-3.41856489813e-06,1.78535710714,0.411847083538,-27.2876025,-0.000113287546953,25.4153325971,-0.709410128702,391.956993,306.22924425,1.26111097538,-3.97406397873e-07,0.425687112301,-0.195361253358,0.0,0.0
103,5428.0,8395064043.33,-62609.6524184,6361626555.42,0.687658901041,1080.27863213,-0.0113811496349,0.0,0.3104614,-1.9300083573e-06,1107.5427039,0.706502973308,0.0,2.66666666667,-6.16878015627e-07,0.471404520791,-0.707106781187,-1.43586,7.64497479421e-05,26.0739338061,-0.28595995533,168.566166667,-544.453002667,1.25425272157,1.00379537667e-06,0.0937004471444,0.313491137227,0.0,0.0
104,5453.0,9776283900.0,-1059.90534933,4262006274.36,0.389480639135,1680.08750053,-0.00224373022574,-0.5,0.6775295,-4.37328019274e-06,913.527543136,-0.305036122817,1.48007002135e-06,3.75,2.29943253567e-06,1.47901994577,0.434650759575,-58.309425,0.000228965290831,42.0465370402,1.09029710642,-446.6812535,-613.90899675,0.797351940456,3.56124213131e-06,0.601133055513,1.12035884787,0.0,0.0
105,5559.0,10081243337.5,37165.9233461,4189553898.52,-0.84699795326,1479.759812,0.00725562416651,-0.25,0.48111175,-2.70130057721e-06,758.5838278,-0.334601134647,-3.48935979298e-06,3.0,1.16004055893e-05,1.22474487139,-0.816496580928,18.9304375,-0.000132386161396,16.5620405204,1.12493582187,-41.72617335,-728.8972475,2.16760610479,4.83039144682e-06,0.627932558378,-1.01196197323,0.0,1.0
106,5562.0,21580965200.0,17436.2830289,14979929809.9,0.482159473183,4376.21682649,0.00502935144267,-0.538461538462,0.451426461538,3.4596626158e-07,3363.56711666,0.743181062376,-2.74146136945e-07,8.30769230769,7.39541029347e-06,6.91024451738,0.734463403076,0.0501146153846,-1.16142917933e-06,36.4508608408,-0.864285957281,-79.44185106,490.116767308,1.51893635356,-2.3381439627e-07,0.631974065847,0.137988800305,0.0,0.0
107,5593.0,12421153055.6,4379.59643762,5457748529.69,1.431691371,2467.92524773,0.00381988152619,-0.222222222222,0.189988222222,1.61245190256e-06,1564.9227776,1.01987641823,-1.3562355156e-06,3.88888888889,1.19254253952e-06,1.8525924445,0.686919531723,30.4941666667,-1.20697142427e-06,12.0626355719,-0.0891414151986,120.179934156,-595.773006778,1.19266854077,7.4862535351e-07,0.199805518644,0.073097081727,0.0,0.0
108,5599.0,8287424996.0,4151.23086798,4956151219.05,0.576253387777,989.209469579,0.000629903366793,-0.2,0.4548748,3.56457052767e-07,627.027903221,0.674212263539,-8.02901933342e-07,2.5,-1.36454036189e-06,1.20415945788,0.687272936721,-21.115625,0.000127835863026,53.8254448593,0.330466202779,155.7417031,-417.6381959,1.08414073837,1.41147501088e-07,0.404036459198,0.827018534905,0.0,0.0
109,5617.0,5453194774.29,-645.073773173,4636318110.79,1.52843660785,508.76929224,-2.46869571272e-05,0.142857142857,0.491073142857,5.20985847252e-07,386.686822119,1.57334879843,6.19474412065e-07,1.28571428571,1.9657357359e-06,0.880630571853,0.665961623589,-5.71742085714,4.88484416292e-05,18.0138272498,-0.194938069583,-37.1217661686,-763.884573714,1.7130347917,-3.01913722695e-07,0.500752442087,0.525763322233,1.0,0.0
110,5618.0,4831346686.67,13809.6034732,2448258329.4,0.630904046922,359.952493224,-0.000232897272571,0.0,0.731438,-3.64574163217e-06,118.593688166,-0.454334358502,5.85692274346e-06,1.66666666667,8.90135191288e-06,1.6996731712,0.528004979218,-33.0618666667,4.25350307121e-05,12.2345724765,-0.0664821429031,-572.332011,-265.538996333,1.07426843782,-3.47233807165e-08,0.110421682738,-0.696588675651,0.0,0.0
111,5619.0,15570315271.4,1950.16570247,4264300363.34,0.714846161049,1836.28703025,0.00238029519537,0.0,0.236307,8.26206322924e-07,530.33358422,-0.471376408067,0.0,3.85714285714,1.38085832759e-07,1.24539969815,0.271676526952,53.2569428571,5.70083193459e-05,16.0122428771,-0.479264586583,92.4947082857,-425.196432857,0.816456030035,-9.97754575111e-07,0.252333391951,0.889488440675,0.0,0.0
112,5643.0,4364953470.0,163.825933508,1714287158.27,0.462215329522,568.29834304,0.00188090384565,-0.333333333333,0.704117166667,-4.62966801153e-07,375.092176842,0.848908397381,-1.88242061133e-07,1.5,2.30294584582e-06,0.957427107756,0.0,13.7430333333,5.50849796273e-05,34.352673704,-1.45772246728,256.580216367,-513.702499333,1.00114063386,6.42312429176e-07,0.178444346165,-0.302467421489,0.0,0.0
113,5652.0,7304410168.0,14621.6757564,6371267266.34,0.893466375909,677.119800969,0.00110303645998,0.0,0.25231148,1.05212957208e-07,515.543857593,0.722315357082,4.09683068515e-07,2.8,2.15102699379e-06,1.46969384567,0.347767062247,-24.469334,9.6268012938e-06,33.0376493265,-0.9599055375,-527.15409402,335.6906004,1.35797234257,2.17752181287e-06,0.533581751875,1.09746356567,0.0,0.0
114,5737.0,9865972893.33,11292.794649,5516356990.28,-0.42988843789,1389.24821909,-0.00462335262734,-0.166666666667,0.597394,-1.60545475594e-07,1532.111161,1.40342055281,6.36413861295e-07,1.33333333333,-3.94034876854e-06,1.37436854187,0.927342095727,-11.7114066667,8.81243461568e-05,45.7382123147,-0.0759887161183,-42.4814986667,-383.112666,1.59522057771,3.80772906563e-06,0.895710081977,0.267010378299,0.0,1.0
115,5825.0,7516085012.5,11359.0883074,2887706705.18,-0.431357428605,759.219556585,0.00183269895145,0.0,0.32658425,2.32804105226e-07,264.107799055,-0.707651695436,0.0,2.5,7.80606057112e-06,2.17944947177,0.652023664685,12.7169,0.000235129433283,32.8444149693,-0.354065568401,-559.78825025,-375.253746,1.05944662111,-9.08187261423e-07,0.183429583653,-0.914403388593,0.0,0.0
116,5862.0,7218306456.0,-3987.09624383,4286354085.81,0.581002452664,2259.90570432,-0.00349033563607,-0.4,0.3297034,-7.84320117976e-08,2408.50740976,1.10565056124,7.32155464183e-07,3.4,-1.95172388993e-06,1.8547236991,0.157987551438,-22.30118,6.77243803628e-05,22.8845675727,0.110783819772,-360.68401379,613.0588012,1.26708801158,1.65889061591e-06,0.454297571123,1.21708393648,0.0,0.0
117,5939.0,6843401728.75,-6573.75286799,3056005566.18,1.35415471655,1370.87710466,-0.00256986545487,-0.125,0.607701125,-1.19322379892e-06,736.438697309,-0.013944451363,2.67954729412e-07,2.5,-2.7135961753e-06,1.11803398875,0.0,-34.86692,-4.74945030176e-05,28.6907006539,-0.760579379277,90.8508242625,-676.65411375,1.43826137343,-7.02894286377e-07,0.576034471974,0.540346899117,0.0,1.0
118,5966.0,10805941726.0,-9881.08933849,6943131449.66,1.1617721656,1849.72928827,-0.00340410150575,0.2,0.1827516,8.39990283697e-07,1735.81203434,1.23990762812,-3.50973395682e-06,2.8,8.2043491413e-06,1.72046505341,-0.395870337344,-56.366066,0.00020729876674,29.1059019117,0.863246702882,-479.3853729,364.4631988,0.858798354562,3.28600813317e-06,0.433945971419,0.5274294754,0.0,0.0
119,6006.0,8735878881.25,12970.8776185,5097811121.33,0.635357474673,1663.20738837,0.00320635205934,0.375,0.494808,4.02999737355e-08,1442.83508742,1.35581177486,-1.92539394027e-07,2.875,1.72818634635e-06,1.69096865731,0.661663629412,-0.09207875,1.14869697107e-05,20.662627926,0.730305886035,-386.565122962,370.9277535,1.53368642465,1.01411445551e-06,0.446617816981,0.490254583315,0.0,0.0
120,6019.0,19574113712.0,10703.488167,17959228987.0,0.774746518436,3653.43747891,0.00508117808077,-0.2,0.3243962,6.94901450277e-07,4600.26777219,1.29624116411,1.73698919974e-06,8.2,1.33399139576e-05,10.1074230148,1.35050422277,-41.974972,-0.000175509629704,29.0914766945,-0.421748622891,551.4865966,415.180194,1.00786148235,-1.90971052784e-06,0.322408008242,-0.394659264302,0.0,1.0
121,6038.0,3109280256.67,-3449.49744773,491328819.421,0.695813779278,393.795210949,-0.0010239257047,0.666666666667,0.0892336666667,-5.40238697256e-06,122.639759961,-0.420876183427,-3.62927227043e-06,1.33333333333,-7.25854454087e-06,0.942809041582,-0.707106781187,25.7667666667,0.000245945949675,45.2096060342,0.140780922361,55.9473265667,-255.767003667,0.97677185533,-2.57986425469e-06,0.325784182163,-0.690613389789,0.0,1.0
122,6217.0,4753610517.5,1924.52980559,1493398335.49,0.0480086168788,557.440296814,-0.000428267550155,0.0,0.88725525,-1.24075139433e-06,130.051795465,-0.375571856441,0.0,1.5,1.48119687926e-06,0.5,0.0,-60.441025,-4.16483342326e-05,9.60515144164,0.833030157541,-369.8447462,-433.472008,0.727692779046,-6.26550016203e-07,0.110085822229,0.589729722137,0.0,1.0
123,6328.0,8581604912.0,-4073.78157158,10116204815.1,1.45951343526,1818.51966949,-0.000559138532559,0.2,0.20173376,8.92461796937e-07,2405.85624179,1.44077816808,-1.42012732092e-07,3.4,-1.30609158159e-06,4.84148737476,1.43639044643,38.5017684,0.000199545078575,35.6839035437,0.324883884587,-118.3998805,703.925403,1.43815833262,-2.00615246416e-06,0.681244555625,0.550053112175,0.0,0.0
124,6339.0,10637326450.0,19785.9010442,4096612464.71,0.312275296247,1616.76205877,0.00349953466948,0.25,0.52977675,1.51212110247e-06,640.994363631,-0.741976160242,2.82971008561e-06,2.75,7.5297548029e-06,1.92028643697,0.992966270193,35.08514,-4.9322435025e-05,18.9645303062,-1.15228320014,67.058405925,-144.0357515,1.16145650378,4.84902821804e-07,0.136486822907,1.02367432607,0.0,0.0
125,6412.0,14350516249.3,-12789.3257794,10584944319.0,2.04925349538,2821.56497542,-0.00343907736863,-0.357142857143,0.254347857143,-4.12213690377e-07,2695.47392656,2.23895080227,6.28467476492e-07,4.5,-4.86237268001e-06,4.53163483587,2.76318361561,-15.1498615714,4.37811842261e-05,16.2110869112,-0.255164938045,230.837815656,458.057357714,1.71194601121,5.23515955255e-07,0.329539536889,-0.916970718673,0.0,1.0
